cora
71.79 54.68 49.76 70.1
72.3 55.89 51.11 70.45
71.27 54.49 49.43 69.43
72.49 56.25 48.94 68.82
72.9 56.13 52.25 70.7
72.08 54.84 50.08 70.29
72.08 55.99 48.07 68.19
73.23 56.91 50.53 68.98
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 100
72.17 0.56
55.69 0.73
49.58 1.42
69.31 0.97
71.57 55.89 47.38 68.14
71.97 55.81 48.21 68.04
71.82 54.73 49.79 70.16
72.27 54.47 50.66 70.25
71.27 56.23 50.18 69.46
72.42 56.13 48.85 68.73
72.82 56.09 52.1 70.67
72.08 54.71 50.31 70.13
72.08 55.99 48.07 68.19
73.23 56.91 50.53 68.98
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 1000
72.15 0.54
55.7 0.75
49.61 1.37
69.28 0.94
citeseer
71.42 44.34 46.91 61.81
71.9 45.45 47.35 62.45
72.2 45.64 47.81 63.18
70.99 44.68 45.46 61.8
71.42 45.05 46.89 62.04
70.93 45.24 45.81 61.88
70.51 43.84 44.9 61.21
70.96 43.63 46.23 61.62
71.63 44.38 47.1 63.02
69.37 43.82 43.01 60.49
gnnlayers: 4, lr: 5e-05, dims: [500], lamda: 0.001
71.13 0.76
44.61 0.68
46.15 1.35
61.95 0.76
70.39 44.29 44.64 61.34
71.72 45.78 46.97 62.42
70.96 44.92 46.03 61.69
70.54 44.53 44.73 61.44
71.36 45.05 46.7 62.0
70.93 45.24 45.81 61.88
70.51 44.43 45.3 61.36
70.69 43.18 45.59 62.18
71.18 44.86 46.05 61.87
69.19 43.41 42.84 61.25
gnnlayers: 4, lr: 5e-05, dims: [500], lamda: 0.01
70.75 0.65
44.57 0.76
45.47 1.13
61.74 0.37
69.01 43.12 44.39 64.57
68.56 43.64 43.87 63.93
67.75 42.33 43.01 63.51
68.11 42.57 43.8 63.95
68.23 41.97 43.41 63.11
70.93 45.24 45.81 61.88
69.49 42.89 44.94 64.76
68.35 43.02 44.31 63.98
68.05 42.58 43.48 63.58
67.48 43.01 42.45 61.15
gnnlayers: 4, lr: 5e-05, dims: [500], lamda: 0.1
68.6 0.95
43.04 0.86
43.95 0.92
63.44 1.08
68.95 44.02 44.98 64.84
69.31 43.85 45.26 64.93
68.11 42.81 43.53 63.97
68.98 44.04 44.99 64.98
69.25 42.73 43.35 61.34
70.93 45.24 45.81 61.88
69.49 42.89 44.94 64.76
68.95 43.44 44.98 64.51
68.08 42.71 43.57 64.2
68.56 42.89 44.51 63.68
gnnlayers: 4, lr: 5e-05, dims: [500], lamda: 1
69.06 0.77
43.46 0.78
44.59 0.79
63.91 1.22
68.29 43.68 44.17 64.29
68.95 43.52 44.73 64.63
68.05 42.71 43.4 64.07
69.34 44.39 45.53 65.28
68.83 42.33 42.75 61.01
70.93 45.24 45.81 61.88
69.49 42.89 44.94 64.76
69.19 44.14 45.27 64.82
68.35 43.31 44.29 64.25
68.11 42.67 43.82 63.23
gnnlayers: 4, lr: 5e-05, dims: [500], lamda: 10
68.95 0.82
43.49 0.86
44.47 0.92
63.82 1.31
68.29 43.68 44.17 64.29
68.89 43.43 44.64 64.58
68.17 42.64 43.78 63.08
69.37 44.49 45.6 65.32
68.77 42.23 42.69 60.95
70.93 45.24 45.81 61.88
69.49 42.89 44.94 64.76
69.19 44.06 45.27 64.86
68.2 43.11 44.03 64.12
68.02 42.53 43.65 63.15
gnnlayers: 4, lr: 5e-05, dims: [500], lamda: 100
68.93 0.83
43.43 0.9
44.46 0.93
63.7 1.34
68.32 43.73 44.23 64.32
68.83 43.41 44.58 64.53
68.17 42.64 43.78 63.08
69.28 44.35 45.44 65.25
68.77 42.23 42.69 60.95
70.93 45.24 45.81 61.88
69.49 42.89 44.94 64.76
69.19 44.06 45.27 64.86
68.23 43.15 44.09 64.15
67.99 42.49 43.61 63.12
gnnlayers: 4, lr: 5e-05, dims: [500], lamda: 1000
68.92 0.83
43.42 0.89
44.44 0.9
63.69 1.33
bat
79.39 55.01 53.25 79.5
80.15 56.17 54.84 80.24
80.92 57.21 56.38 80.95
80.15 56.17 54.84 80.24
80.15 56.17 54.84 80.24
78.63 53.83 52.16 78.53
79.39 55.01 53.25 79.5
79.39 55.34 54.08 79.19
80.15 56.17 54.84 80.24
80.15 56.05 54.79 80.22
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 0.001
79.85 0.61
55.71 0.89
54.33 1.12
79.89 0.66
79.39 55.01 53.25 79.5
79.39 54.91 53.46 79.39
80.92 57.21 56.38 80.95
80.15 56.17 54.84 80.24
80.15 56.17 54.84 80.24
78.63 53.83 52.16 78.53
79.39 55.01 53.25 79.5
79.39 55.01 53.25 79.5
79.39 55.02 53.28 79.48
80.15 56.05 54.79 80.22
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 0.01
79.7 0.61
55.44 0.9
53.95 1.16
79.76 0.63
78.63 54.09 51.8 78.79
77.1 52.46 49.46 77.24
78.63 54.09 51.8 78.79
77.1 52.49 49.14 77.33
78.63 53.99 51.75 78.77
77.86 53.06 50.29 78.05
77.86 53.14 50.63 77.94
78.63 54.09 51.8 78.79
78.63 53.99 51.75 78.77
79.39 55.01 53.25 79.5
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 0.1
78.25 0.71
53.64 0.78
51.17 1.2
78.4 0.69
76.34 51.89 48.58 76.44
77.1 53.01 50.56 76.93
76.34 52.06 48.77 76.48
76.34 52.06 48.77 76.48
76.34 52.16 49.25 76.23
76.34 51.89 48.58 76.44
76.34 51.65 49.27 76.1
76.34 51.68 48.97 76.18
76.34 51.94 49.64 76.0
77.1 50.84 48.96 77.26
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 1
76.49 0.3
51.92 0.51
49.14 0.57
76.45 0.37
76.34 51.13 49.78 75.64
77.1 52.29 50.89 76.48
75.57 51.9 49.38 74.66
77.1 52.29 50.89 76.48
76.34 52.7 50.52 75.55
75.57 51.17 48.98 74.84
75.57 52.15 49.52 74.67
77.1 52.29 50.89 76.48
77.1 52.29 50.89 76.48
76.34 51.13 49.78 75.64
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 10
76.41 0.64
51.93 0.55
50.15 0.7
75.69 0.73
77.1 52.29 50.89 76.48
77.1 52.29 50.89 76.48
77.1 52.29 50.89 76.48
77.1 52.29 50.89 76.48
77.1 52.29 50.89 76.48
77.1 52.29 50.89 76.48
76.34 51.54 49.94 75.62
76.34 51.05 49.45 75.79
77.1 52.29 50.89 76.48
77.1 52.29 50.89 76.48
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 100
76.95 0.3
52.09 0.41
50.65 0.49
76.32 0.31
77.86 53.15 52.07 77.36
77.1 52.29 50.89 76.48
77.1 52.29 50.89 76.48
77.1 52.29 50.89 76.48
77.1 52.29 50.89 76.48
75.57 51.17 48.98 74.84
73.28 47.41 44.19 73.05
75.57 51.17 48.98 74.84
75.57 51.17 48.98 74.84
77.1 52.29 50.89 76.48
gnnlayers: 4, lr: 0.001, dims: [500], lamda: 1000
76.34 1.28
51.55 1.51
49.76 2.11
75.73 1.23
eat
58.15 33.64 27.11 58.27
58.4 35.52 28.59 58.62
57.39 33.61 26.79 57.6
58.65 35.75 28.84 59.05
57.89 33.58 27.16 57.93
58.9 35.77 28.51 59.52
58.15 33.64 27.11 58.27
57.64 33.87 27.39 57.69
57.89 35.39 28.41 58.1
58.15 35.34 27.2 58.95
gnnlayers: 3, lr: 0.001, dims: [500], lamda: 0.001
58.12 0.43
34.61 0.95
27.71 0.74
58.4 0.59
57.89 33.93 27.29 58.1
59.15 36.06 29.43 59.33
57.89 33.93 27.29 58.1
58.4 35.51 28.5 58.79
57.89 33.77 27.14 58.09
58.65 35.23 27.99 59.31
57.39 33.02 26.32 57.54
57.64 33.65 27.23 57.66
57.89 35.39 28.41 58.1
58.15 34.99 27.48 58.85
gnnlayers: 3, lr: 0.001, dims: [500], lamda: 0.01
58.09 0.49
34.55 0.95
27.71 0.84
58.39 0.61
57.14 34.49 26.9 57.82
55.89 32.38 25.76 56.13
56.89 33.62 26.0 57.68
57.64 34.31 27.09 58.16
56.64 33.01 25.02 57.15
56.39 33.83 25.78 56.89
57.39 34.21 26.72 58.06
57.89 34.4 27.32 58.47
58.15 35.68 27.77 58.88
58.15 34.65 27.38 58.82
gnnlayers: 3, lr: 0.001, dims: [500], lamda: 0.1
57.22 0.73
34.06 0.87
26.57 0.84
57.81 0.83
55.89 31.31 24.58 56.47
54.39 29.45 23.45 54.87
55.64 33.79 25.0 56.19
56.39 31.94 24.84 57.14
54.39 34.31 27.74 50.71
55.89 29.94 23.98 56.4
56.39 31.68 25.02 57.03
56.39 31.85 24.82 57.13
56.14 30.17 24.34 56.62
55.14 30.42 23.68 55.81
gnnlayers: 3, lr: 0.001, dims: [500], lamda: 1
55.66 0.74
31.49 1.52
24.74 1.13
55.84 1.83
54.89 29.44 23.55 55.62
54.64 30.96 24.02 55.5
54.39 30.54 23.75 55.2
54.39 30.4 24.26 54.81
54.39 30.45 24.32 54.88
54.64 30.61 24.46 55.13
55.14 29.58 23.58 55.93
54.64 29.17 23.2 55.37
54.89 29.4 23.57 55.6
54.89 30.68 23.85 55.62
gnnlayers: 3, lr: 0.001, dims: [500], lamda: 10
54.69 0.24
30.12 0.62
23.86 0.38
55.37 0.34
53.88 28.16 23.96 53.73
53.63 29.76 22.03 54.61
54.39 28.17 23.81 54.4
54.89 31.1 24.51 55.74
54.89 30.1 23.86 55.61
55.14 31.0 24.46 55.97
54.64 28.19 23.86 54.63
54.39 28.17 23.81 54.39
54.14 28.3 24.14 54.03
54.89 29.17 23.49 55.43
gnnlayers: 3, lr: 0.001, dims: [500], lamda: 100
54.49 0.47
29.21 1.14
23.79 0.66
54.85 0.74
54.14 29.04 23.32 54.54
54.14 28.38 24.19 53.99
54.14 30.1 24.02 54.6
55.39 29.84 23.92 56.1
54.89 29.11 23.47 55.41
55.39 29.84 23.92 56.1
54.64 28.99 23.32 55.17
54.89 29.18 23.55 55.41
54.64 28.99 23.32 55.17
54.64 29.03 23.34 55.18
gnnlayers: 3, lr: 0.001, dims: [500], lamda: 1000
54.69 0.44
29.25 0.49
23.64 0.32
55.17 0.63
uat
58.24 30.46 25.35 57.27
60.34 31.88 27.32 60.04
59.08 30.12 24.88 59.42
59.41 30.85 26.32 58.92
58.74 30.21 25.33 58.04
60.08 30.44 25.82 60.27
61.18 32.33 28.01 60.75
58.49 29.96 24.52 58.7
57.98 29.59 24.29 57.55
60.76 31.73 27.27 60.21
gnnlayers: 5, lr: 0.001, dims: [500], lamda: 0.001
59.43 1.05
